model,horizon,feature,importance_prediction_values_change
catboost,1,target_hour_sin,1.9637734573719607
catboost,1,target_hour_cos,8.273897761153078
catboost,1,target_dayofweek_sin,0.2973368013925691
catboost,1,target_dayofweek_cos,0.10809704908936706
catboost,1,target_month_sin,0.39813046980921046
catboost,1,target_month_cos,0.8522753253423423
catboost,1,target_is_weekend,0.36042482926972197
catboost,1,o3_at_origin,78.28918089459438
catboost,1,o3_lag_1h,2.148902651309211
catboost,1,o3_lag_2h,0.5564619533507317
catboost,1,o3_lag_3h,0.20982476014764412
catboost,1,o3_lag_6h,0.28428428898221875
catboost,1,o3_lag_12h,0.305973460852314
catboost,1,o3_prev_day_same_hour,1.7143474126000475
catboost,1,o3_target_lag_48h,1.053756376810505
catboost,1,o3_roll_mean_6h,0.41951738068931216
catboost,1,o3_roll_mean_24h,0.8651497467027209
catboost,1,o3_roll_std_6h,0.5799184941742055
catboost,1,o3_roll_std_24h,0.8106690391913908
catboost,1,o3_roll_max_24h,0.3889907121315056
catboost,1,o3_roll_missing_ratio_24h,0.11908713503555987
catboost,4,target_hour_sin,14.96490068114875
catboost,4,target_hour_cos,18.267229555235133
catboost,4,target_dayofweek_sin,1.234004814335043
catboost,4,target_dayofweek_cos,0.9278070244030959
catboost,4,target_month_sin,2.2645131754677825
catboost,4,target_month_cos,4.257865033939463
catboost,4,target_is_weekend,2.448269191691872
catboost,4,o3_at_origin,26.300362583519057
catboost,4,o3_lag_1h,0.6860453984482773
catboost,4,o3_lag_2h,0.4702787035692436
catboost,4,o3_lag_3h,0.2581219753769734
catboost,4,o3_lag_6h,1.064609090563545
catboost,4,o3_lag_12h,0.6206132943766614
catboost,4,o3_prev_day_same_hour,11.317617334249016
catboost,4,o3_target_lag_48h,4.138121324085222
catboost,4,o3_roll_mean_6h,0.6486525476937643
catboost,4,o3_roll_mean_24h,4.516651253802004
catboost,4,o3_roll_std_6h,1.1299496890948508
catboost,4,o3_roll_std_24h,2.3083848191017355
catboost,4,o3_roll_max_24h,1.737793672835687
catboost,4,o3_roll_missing_ratio_24h,0.43820883706284364
catboost,12,target_hour_sin,17.687655195481387
catboost,12,target_hour_cos,8.665238231854698
catboost,12,target_dayofweek_sin,2.1052180790254584
catboost,12,target_dayofweek_cos,2.17327965677882
catboost,12,target_month_sin,6.7519813648431795
catboost,12,target_month_cos,9.805784258913029
catboost,12,target_is_weekend,4.396452560062884
catboost,12,o3_at_origin,2.6060965318022538
catboost,12,o3_lag_1h,1.3843895317913455
catboost,12,o3_lag_2h,1.1601310380333707
catboost,12,o3_lag_3h,0.7169697196645052
catboost,12,o3_lag_6h,0.9293073423307827
catboost,12,o3_lag_12h,15.938567006991839
catboost,12,o3_target_lag_48h,7.234542134620841
catboost,12,o3_roll_mean_6h,1.3209097186153322
catboost,12,o3_roll_mean_24h,5.238087325606826
catboost,12,o3_roll_std_6h,1.6196165620100265
catboost,12,o3_roll_std_24h,3.734268131393005
catboost,12,o3_roll_max_24h,5.8298280727685095
catboost,12,o3_roll_missing_ratio_24h,0.7016775374118759
catboost,24,target_hour_sin,17.645604294664565
catboost,24,target_hour_cos,9.305763493384742
catboost,24,target_dayofweek_sin,1.949137206167346
catboost,24,target_dayofweek_cos,1.412266910869017
catboost,24,target_month_sin,10.768406923770408
catboost,24,target_month_cos,14.974986724501996
catboost,24,target_is_weekend,5.161771351454238
catboost,24,o3_at_origin,18.14025338881894
catboost,24,o3_lag_1h,4.074318320418759
catboost,24,o3_lag_2h,0.5555699931974557
catboost,24,o3_lag_3h,0.31076899313512935
catboost,24,o3_lag_6h,0.3946012142865032
catboost,24,o3_lag_12h,0.26945424128784295
catboost,24,o3_target_lag_48h,5.9718766320391685
catboost,24,o3_roll_mean_6h,1.1219320583478232
catboost,24,o3_roll_mean_24h,1.400355432085154
catboost,24,o3_roll_std_6h,0.07551014401256771
catboost,24,o3_roll_std_24h,2.5005300277580553
catboost,24,o3_roll_max_24h,3.5319450509564927
catboost,24,o3_roll_missing_ratio_24h,0.43494759884382106
