hour,mean_o3,median_o3,std_o3,count
0,40.40939597315436,43.0,23.962901776003346,1788
1,40.50644980370163,43.0,23.32226379834765,1783
2,39.387984278495225,41.0,22.849641686561444,1781
3,38.498601007274765,41.0,22.79565913303142,1787
4,38.16564073866816,41.0,22.61569694330558,1787
5,36.00056022408964,38.0,21.929322357477673,1785
6,31.14173669467787,32.0,21.026770527609912,1785
7,24.756165919282513,22.0,19.302924089191634,1784
8,24.561867266591676,22.0,19.09732344751827,1778
9,30.66761202495746,30.0,19.832917589635368,1763
10,38.17486971627099,39.0,20.155093743081476,1727
11,45.331202789076116,46.0,19.887901172049343,1721
12,51.353729603729604,52.0,20.48152529012977,1716
13,55.96727898966705,57.0,21.15595566322543,1742
14,60.09090909090909,62.0,21.169924263385646,1760
15,62.98189020939446,65.0,21.600713838382514,1767
16,61.31274564851207,64.0,22.724297750286937,1781
17,57.543064876957494,61.0,24.24060613954561,1788
18,53.254189944134076,57.0,25.238751996363433,1790
19,48.95418994413408,53.0,25.166458059836003,1790
20,45.69553072625698,50.0,24.676023356708914,1790
21,44.26815642458101,49.0,24.735349169876887,1790
22,43.38379888268157,47.0,24.55021126603909,1790
23,41.72203579418345,45.0,24.281584140368885,1788
