hour,2020,2021,2022,2023,2024
0,37.06318681318681,40.391549295774645,37.26136363636363,41.908839779005525,45.45070422535211
1,36.44077134986226,40.13841807909605,37.894586894586894,42.23545706371191,45.87005649717514
2,33.60220994475138,38.855932203389834,36.502857142857145,42.51523545706371,45.5
3,33.184573002754824,38.93258426966292,35.034188034188034,41.751381215469614,43.605633802816904
4,32.95316804407714,39.842696629213485,34.61253561253561,40.8756906077348,42.563380281690144
5,31.443526170798897,38.0056338028169,32.319088319088316,38.13812154696133,40.1271186440678
6,26.975206611570247,32.780281690140846,27.82336182336182,32.773480662983424,35.39265536723164
7,20.639118457300274,24.343661971830986,22.185185185185187,27.406077348066297,29.243626062322946
8,21.15235457063712,24.143661971830987,22.826210826210826,26.310249307479225,28.44
9,27.08839779005525,29.56619718309859,29.64,32.152542372881356,35.1140350877193
10,33.22191011235955,36.19653179190752,38.05539358600583,39.42151162790697,44.26923076923077
11,40.3371104815864,42.959420289855075,45.60059171597633,46.83188405797102,51.13235294117647
12,47.18980169971671,48.542521994134894,51.9080118694362,52.99135446685879,56.30473372781065
13,52.03921568627451,53.09275362318841,56.80351906158358,57.33806818181818,60.654178674351584
14,56.23314606741573,57.25356125356125,61.111436950146626,61.787114845938376,64.07887323943662
15,60.414084507042254,60.27920227920228,63.392550143266476,64.21848739495799,66.57464788732395
16,58.92265193370166,58.146067415730336,61.472934472934476,62.50974930362117,65.58073654390935
17,55.392857142857146,54.97478991596638,57.028490028490026,58.50969529085872,61.85633802816901
18,50.72527472527472,51.09550561797753,52.70454545454545,54.231404958677686,57.55774647887324
19,46.18681318681319,47.6376404494382,47.78409090909091,50.35537190082645,52.83943661971831
20,43.0521978021978,44.75561797752809,44.53125,46.730027548209364,49.44507042253521
21,40.887362637362635,43.609550561797754,43.05113636363637,45.28650137741047,48.56056338028169
22,39.55769230769231,43.15126050420168,41.95170454545455,44.15469613259668,48.17464788732394
23,38.85164835164835,41.82535211267606,39.17329545454545,42.29834254143646,46.501408450704226
