,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ene,23.558659217877096,26.452513966480446,27.558659217877096,28.98324022346369,29.977653631284916,29.168539325842698,24.65730337078652,18.685393258426966,15.67231638418079,18.289772727272727,23.862068965517242,30.775862068965516,35.71511627906977,37.43103448275862,40.49431818181818,41.747126436781606,38.44632768361582,31.797752808988765,24.94943820224719,20.196629213483146,18.48314606741573,20.140449438202246,21.258426966292134,22.43820224719101
Feb,28.36094674556213,29.810650887573964,30.035502958579883,30.674556213017752,30.224852071005916,28.201183431952664,24.727810650887573,18.497041420118343,16.31360946745562,21.125,30.696969696969695,38.70987654320987,42.785276073619634,47.873493975903614,53.339393939393936,55.48795180722892,53.93452380952381,49.43195266272189,42.85207100591716,37.89349112426036,33.61538461538461,30.91715976331361,30.25294117647059,29.023529411764706
Mar,50.027027027027025,49.625698324022345,49.28648648648649,49.464864864864865,49.61413043478261,47.22826086956522,40.91847826086956,32.52173913043478,32.66304347826087,39.64673913043478,48.31491712707182,54.564245810055866,60.68361581920904,65.27932960893855,70.05027932960894,72.3076923076923,71.28260869565217,68.58918918918918,64.30810810810812,58.70810810810811,56.14054054054054,55.005405405405405,54.21081081081081,51.21621621621622
Abr,58.462857142857146,57.84571428571429,54.40229885057471,53.30057803468208,51.09826589595376,47.58720930232558,41.25581395348837,32.72093023255814,32.44767441860465,42.01176470588236,51.191616766467064,58.23076923076923,66.69642857142857,72.80952380952381,77.99411764705883,82.11176470588235,82.01162790697674,80.28323699421965,77.6878612716763,73.5606936416185,69.6300578034682,67.54022988505747,64.95402298850574,62.252873563218394
May,53.21910112359551,50.848314606741575,46.64971751412429,44.02247191011236,42.01123595505618,39.92134831460674,34.651685393258425,28.752808988764045,32.8876404494382,41.34285714285714,47.870588235294115,56.50920245398773,62.54545454545455,68.65882352941176,73.64772727272727,77.55681818181819,77.38764044943821,74.69662921348315,72.43258426966293,68.75280898876404,64.12921348314607,62.41011235955056,60.657303370786515,57.090395480225986
Jun,54.907514450867055,52.86705202312139,49.348837209302324,46.213872832369944,45.820809248554916,40.31395348837209,35.41279069767442,31.412790697674417,34.98837209302326,42.79289940828402,51.882716049382715,60.701219512195124,67.45121951219512,71.70238095238095,74.15976331360947,77.23699421965318,76.0919540229885,73.72,70.97727272727273,67.80113636363636,65.04545454545455,63.05113636363637,59.69714285714286,56.98285714285714
Jul,52.66480446927374,51.45810055865922,48.58100558659218,45.3,44.11666666666667,40.385474860335194,34.46368715083799,30.578651685393258,34.42134831460674,42.271186440677965,50.327586206896555,58.54597701149425,65.11976047904191,70.18823529411765,72.37209302325581,74.5284090909091,73.00555555555556,71.17127071823204,68.33149171270718,64.1878453038674,59.98888888888889,58.16111111111111,56.772222222222226,54.40782122905028
Ago,53.924324324324324,52.35675675675676,50.443243243243245,48.16216216216216,47.32432432432432,44.42162162162162,39.8972972972973,34.09189189189189,36.44565217391305,45.49171270718232,53.41111111111111,60.87709497206704,69.89617486338798,76.01621621621622,79.56521739130434,81.63783783783784,80.65405405405406,77.51612903225806,73.86559139784946,69.68279569892474,65.4247311827957,62.833333333333336,61.043010752688176,57.40860215053763
Sep,48.72316384180791,48.18079096045198,46.30337078651685,44.46067415730337,43.3876404494382,41.162921348314605,36.47191011235955,28.0561797752809,25.01123595505618,33.68361581920904,42.09770114942529,48.843023255813954,55.69590643274854,61.77325581395349,67.375,72.08988764044943,71.97752808988764,69.02808988764045,64.87640449438203,59.81460674157304,55.82022471910113,54.056179775280896,52.92134831460674,50.52808988764045
Oct,34.924731182795696,35.516129032258064,34.773480662983424,33.77956989247312,35.354838709677416,34.123655913978496,28.704301075268816,20.956989247311828,18.118279569892472,22.394594594594594,32.25139664804469,40.416666666666664,46.794444444444444,51.39779005524862,57.29891304347826,61.51086956521739,60.075675675675676,56.36021505376344,51.31182795698925,46.086021505376344,42.53763440860215,39.75268817204301,39.24731182795699,35.58064516129032
Nov,26.270588235294117,29.38235294117647,30.194117647058825,31.25294117647059,31.541176470588237,30.652941176470588,26.976470588235294,20.823529411764707,17.893491124260354,20.987951807228917,28.69375,33.2875,37.32098765432099,39.365269461077844,42.311764705882354,43.781065088757394,39.43529411764706,32.82248520710059,26.929411764705883,23.476470588235294,21.723529411764705,21.5,22.50588235294118,24.741176470588236
Dic,20.772972972972973,23.37837837837838,24.535135135135135,25.724324324324325,26.227027027027027,25.756756756756758,22.037837837837838,17.924324324324324,16.054945054945055,19.033333333333335,23.303370786516854,28.129943502824858,32.28651685393258,34.28888888888889,36.74444444444445,37.83516483516483,34.39890710382514,27.454054054054055,22.410810810810812,19.232432432432432,16.67027027027027,16.627027027027026,18.34054054054054,20.17837837837838
