month,mean_o3,median_o3,std_o3,count
1,25.0489610019926,24.0,18.717124395742225,3513
2,33.70944741532977,36.0,22.29219600767574,3366
3,52.59658629097805,56.0,23.39592254208979,3691
4,59.25153374233129,64.0,25.032383639953157,3423
5,52.49745475113122,55.0,23.05100412686599,3536
6,53.486612339930154,55.0,21.907310260357452,3436
7,51.74081237911025,53.0,20.66508099900175,3619
8,56.804488912925905,57.0,21.791184758009546,3698
9,50.563543730540616,52.0,21.25891315591933,3533
10,38.97344892982932,41.0,21.381674130352,3691
11,28.13335295849279,28.0,18.212805904455504,3397
12,23.268179332968835,21.0,18.41678559947115,3658
