,count,mean,median,std,q25,q75,p95,max
Ene,3513,25.0489610019926,24.0,18.717124395742225,7.0,40.0,57.0,74.0
Feb,3366,33.70944741532977,36.0,22.29219600767574,13.0,51.0,69.0,94.0
Mar,3691,52.59658629097805,56.0,23.39592254208979,38.0,70.0,86.0,118.0
Abr,3423,59.25153374233129,64.0,25.032383639953157,45.0,76.0,95.0,116.0
May,3536,52.49745475113122,55.0,23.05100412686599,38.0,69.0,86.0,118.0
Jun,3436,53.486612339930154,55.0,21.907310260357452,39.0,69.0,86.0,141.0
Jul,3619,51.74081237911025,53.0,20.66508099900175,39.0,65.0,85.0,131.0
Ago,3698,56.804488912925905,57.0,21.791184758009546,43.0,72.0,91.0,128.0
Sep,3533,50.563543730540616,52.0,21.25891315591933,38.0,66.0,83.0,119.0
Oct,3691,38.97344892982932,41.0,21.381674130352,23.0,55.0,71.0,98.0
Nov,3397,28.13335295849279,28.0,18.212805904455504,12.0,42.0,58.0,77.0
Dic,3658,23.268179332968835,21.0,18.41678559947115,5.0,38.0,54.0,77.0
