horizon,split,n_rows,origin_min,origin_max,target_min,target_max,missing_target,missing_baseline_daily
1,train,26303,2020-01-01 00:00:00,2022-12-31 22:00:00,2020-01-01 01:00:00,2022-12-31 23:00:00,787,810
1,calibration,8760,2022-12-31 23:00:00,2023-12-31 22:00:00,2023-01-01 00:00:00,2023-12-31 23:00:00,153,153
1,validation,8784,2023-12-31 23:00:00,2024-12-31 22:00:00,2024-01-01 00:00:00,2024-12-31 23:00:00,347,347
1,test,8760,2024-12-31 23:00:00,2025-12-31 22:00:00,2025-01-01 00:00:00,2025-12-31 23:00:00,379,379
4,train,26300,2020-01-01 00:00:00,2022-12-31 19:00:00,2020-01-01 04:00:00,2022-12-31 23:00:00,787,807
4,calibration,8760,2022-12-31 20:00:00,2023-12-31 19:00:00,2023-01-01 00:00:00,2023-12-31 23:00:00,153,153
4,validation,8784,2023-12-31 20:00:00,2024-12-31 19:00:00,2024-01-01 00:00:00,2024-12-31 23:00:00,347,347
4,test,8760,2024-12-31 20:00:00,2025-12-31 19:00:00,2025-01-01 00:00:00,2025-12-31 23:00:00,379,379
12,train,26292,2020-01-01 00:00:00,2022-12-31 11:00:00,2020-01-01 12:00:00,2022-12-31 23:00:00,787,799
12,calibration,8760,2022-12-31 12:00:00,2023-12-31 11:00:00,2023-01-01 00:00:00,2023-12-31 23:00:00,153,153
12,validation,8784,2023-12-31 12:00:00,2024-12-31 11:00:00,2024-01-01 00:00:00,2024-12-31 23:00:00,347,347
12,test,8760,2024-12-31 12:00:00,2025-12-31 11:00:00,2025-01-01 00:00:00,2025-12-31 23:00:00,379,379
24,train,26280,2020-01-01 00:00:00,2022-12-30 23:00:00,2020-01-02 00:00:00,2022-12-31 23:00:00,787,787
24,calibration,8760,2022-12-31 00:00:00,2023-12-30 23:00:00,2023-01-01 00:00:00,2023-12-31 23:00:00,153,153
24,validation,8784,2023-12-31 00:00:00,2024-12-30 23:00:00,2024-01-01 00:00:00,2024-12-31 23:00:00,347,347
24,test,8760,2024-12-31 00:00:00,2025-12-30 23:00:00,2025-01-01 00:00:00,2025-12-31 23:00:00,379,379
